id,date,user,pc,activity
{W2U0-G3PL95EB-1493RKLD},2010-06-01 00:47:01,EIS0041,PC-3124,Connect
{G8R7-B6WK63HJ-7216NPYF},2010-06-01 00:47:38,BSS0369,PC-8508,Connect
{G3A2-U1AI14IE-4122UHHJ},2010-06-01 00:47:58,BSS0369,PC-8508,Disconnect
{Z0I6-L1UY32JI-1360UOQB},2010-06-01 00:51:34,EIS0041,PC-3124,Disconnect
{G3I2-X3ID15LI-0406RAQL},2010-06-01 01:23:00,MOS0047,PC-6688,Connect
{Y9S8-R7CX34PN-9052CXIE},2010-06-01 01:27:25,MOS0047,PC-6688,Disconnect
{N0Z9-M1LW53LL-4571PEEQ},2010-06-01 01:41:50,BAL0044,PC-3343,Connect
{R7K0-Y0HR91NX-8557JMCY},2010-06-01 01:44:08,BAL0044,PC-3343,Disconnect
{A6S3-L1MG05II-4859TBDO},2010-06-01 03:42:45,GTD0219,PC-5480,Connect
{B7A7-R1PF22JT-2992XPCF},2010-06-01 03:42:54,GTD0219,PC-5480,Disconnect
